DATAFLOW,LAST UPDATE,freq,duration,c_dest,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Greece,2020,3101098,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Greece,2021,3471378,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Greece,2022,3932823,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Greece,2023,4009180,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Spain,2014,20869290,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Spain,2015,24449869,b
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Spain,2016,25614204,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Spain,2017,25665519,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Spain,2018,26500895,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Spain,2019,27694148,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Spain,2020,25623541,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Spain,2021,21721484,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Spain,2022,26427605,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,Spain,2023,28252224,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,European Union - 27 countries (from 2020),2014,222539976,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,European Union - 27 countries (from 2020),2015,230307787,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,European Union - 27 countries (from 2020),2016,232977325,
ESTAT:TOUR_DEM_TOTOT(1.0),16/10/24 11:00:00,Annual,1 night or over,All countries of the world,Number,European Union - 27 countries (from 2020),2017,232782845,u
