DATAFLOW,FREQ,REF_AREA,DATA_TYPE,ADJUSTMENT,TYPE_ACCOMMODATION,ECON_ACTIVITY_NACE_2007,COUNTRY_RES_GUESTS,LOCALITY_TYPE,URBANIZ_DEGREE,COASTAL_AREA,SIZE_BY_NUMBER_ROOMS,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_DATA_TYPE,NOTE_ADJUSTMENT,NOTE_TYPE_ACCOMMODATION,NOTE_ECON_ACTIVITY_NACE_2007,NOTE_COUNTRY_RES_GUESTS,NOTE_LOCALITY_TYPE,NOTE_URBANIZ_DEGREE,NOTE_COASTAL_AREA,NOTE_SIZE_BY_NUMBER_ROOMS,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2019,14889951,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2020,6636012,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2021,9279507,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2022,13749579,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2023,14410448,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2018,6633473,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2019,6538527,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2020,2263951,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2021,3497503,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2022,6479415,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2023,7180603,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,HOTELLIKE,551_553,IT,ALL,ALL,ALL,TOT,2018,5344013,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,HOTELLIKE,551_553,IT,ALL,ALL,ALL,TOT,2019,4734822,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,HOTELLIKE,551_553,IT,ALL,ALL,ALL,TOT,2020,2433630,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,HOTELLIKE,551_553,IT,ALL,ALL,ALL,TOT,2021,3475510,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,HOTELLIKE,551_553,IT,ALL,ALL,ALL,TOT,2022,4511183,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,HOTELLIKE,551_553,IT,ALL,ALL,ALL,TOT,2023,4478318,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,HOTELLIKE,551_553,WORLD,ALL,ALL,ALL,TOT,2018,9273074,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,HOTELLIKE,551_553,WORLD,ALL,ALL,ALL,TOT,2019,8837679,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,HOTELLIKE,551_553,WORLD,ALL,ALL,ALL,TOT,2020,3633461,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,HOTELLIKE,551_553,WORLD,ALL,ALL,ALL,TOT,2021,5131994,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,HOTELLIKE,551_553,WORLD,ALL,ALL,ALL,TOT,2022,8202547,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,HOTELLIKE,551_553,WORLD,ALL,ALL,ALL,TOT,2023,8592352,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,HOTELLIKE,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2018,3929061,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,HOTELLIKE,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2019,4102857,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,HOTELLIKE,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2020,1199831,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,HOTELLIKE,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2021,1656484,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,HOTELLIKE,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2022,3691364,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,HOTELLIKE,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2023,4114034,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,OTHER,551_553,IT,ALL,ALL,ALL,TOT,2018,3123282,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,OTHER,551_553,IT,ALL,ALL,ALL,TOT,2019,3616602,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,OTHER,551_553,IT,ALL,ALL,ALL,TOT,2020,1938431,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,OTHER,551_553,IT,ALL,ALL,ALL,TOT,2021,2306494,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,OTHER,551_553,IT,ALL,ALL,ALL,TOT,2022,2758981,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,OTHER,551_553,IT,ALL,ALL,ALL,TOT,2023,2751527,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,OTHER,551_553,WORLD,ALL,ALL,ALL,TOT,2018,5827694,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,OTHER,551_553,WORLD,ALL,ALL,ALL,TOT,2019,6052272,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,OTHER,551_553,WORLD,ALL,ALL,ALL,TOT,2020,3002551,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,OTHER,551_553,WORLD,ALL,ALL,ALL,TOT,2021,4147513,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,OTHER,551_553,WORLD,ALL,ALL,ALL,TOT,2022,5547032,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,OTHER,551_553,WORLD,ALL,ALL,ALL,TOT,2023,5818096,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,OTHER,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2018,2704412,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,OTHER,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2019,2435670,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,OTHER,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2020,1064120,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,OTHER,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2021,1841019,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,OTHER,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2022,2788051,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC1,NI,N,OTHER,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2023,3066569,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC2,AR,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2018,755502,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC2,AR,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2019,764505,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC2,AR,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2020,496906,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC2,AR,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2021,504736,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC2,AR,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2022,757863,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC2,AR,N,ALL,551_553,IT,ALL,ALL,ALL,TOT,2023,813290,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC2,AR,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2018,1254191,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC2,AR,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2019,1270306,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC2,AR,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2020,721352,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC2,AR,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2021,697247,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC2,AR,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2022,1194429,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC2,AR,N,ALL,551_553,WORLD,ALL,ALL,ALL,TOT,2023,1338919,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC2,AR,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2018,498689,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC2,AR,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2019,505801,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC2,AR,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2020,224446,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC2,AR,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2021,192511,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC2,AR,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2022,436566,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC2,AR,N,ALL,551_553,WRL_X_ITA,ALL,ALL,ALL,TOT,2023,525629,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC2,AR,N,HOTELLIKE,551_553,IT,ALL,ALL,ALL,TOT,2018,516097,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC2,AR,N,HOTELLIKE,551_553,IT,ALL,ALL,ALL,TOT,2019,518317,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC2,AR,N,HOTELLIKE,551_553,IT,ALL,ALL,ALL,TOT,2020,349303,,,,,,,,,,,,,,,,
IT1:122_54_DF_DCSC_TUR_3(1.0),A,ITC2,AR,N,HOTELLIKE,551_553,IT,ALL,ALL,ALL,TOT,2021,357100,,,,,,,,,,,,,,,,
