DATAFLOW,FREQ,RESIDENCE_TERR,DATA_TYPE,TYPE_TRIP,MAIN_DESTINATION,MAIN_TYPE_ACCOMMODATION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_RESIDENCE_TERR,NOTE_DATA_TYPE,NOTE_TYPE_TRIP,NOTE_MAIN_DESTINATION,NOTE_MAIN_TYPE_ACCOMMODATION,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,IT,5,2023-Q3,85,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,IT,5,2023-Q4,129,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,5,2019-Q1,119,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,5,2019-Q2,104,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,5,2019-Q3,80,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,5,2019-Q4,122,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,5,2020-Q1,121,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,5,2020-Q2,79,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,5,2020-Q3,75,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,5,2020-Q4,89,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,5,2021-Q1,60,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,5,2021-Q2,69,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,5,2021-Q3,81,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,5,2021-Q4,116,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,5,2022-Q1,121,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,5,2022-Q2,106,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,5,2022-Q3,86,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,5,2022-Q4,123,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,5,2023-Q1,124,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,5,2023-Q2,116,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,5,2023-Q3,98,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,TOTAL,5,2023-Q4,155,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,WRL_X_ITA,5,2019-Q1,138,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,WRL_X_ITA,5,2019-Q2,128,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,WRL_X_ITA,5,2019-Q3,100,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,WRL_X_ITA,5,2019-Q4,149,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,WRL_X_ITA,5,2020-Q1,159,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,WRL_X_ITA,5,2020-Q2,192,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,WRL_X_ITA,5,2020-Q3,103,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,WRL_X_ITA,5,2020-Q4,157,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,WRL_X_ITA,5,2021-Q1,0,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,WRL_X_ITA,5,2021-Q2,42,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,WRL_X_ITA,5,2021-Q3,103,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,WRL_X_ITA,5,2021-Q4,134,,,,,,,,,,,
IT1:68_265_DF_DCCV_VIAGGI_SPESE_CAPI_2(1.0),Q,IT,EXP_AV_DAY,HOL,WRL_X_ITA,5,2022-Q1,145,,,,,,,,,,,
